,league_id,year,start,end,current,events,lineups,statistics_fixtures,statistics_players,standings,players,top_scorers,top_assists,top_cards,injuries,predictions,odds
5932,867,2021,2021-11-07,2021-11-19,False,False,False,False,False,True,False,False,False,False,False,True,False
5933,867,2022,2022-03-14,2022-05-23,False,True,False,False,False,True,False,False,False,False,False,True,False
5934,867,2023,2023-07-15,2023-11-12,True,True,False,False,False,True,False,False,False,False,False,True,False
5935,895,2021,2022-01-12,2022-07-07,False,True,False,False,False,False,False,False,False,False,False,True,False
5936,895,2022,2022-11-19,2023-07-22,False,True,True,False,False,False,False,False,False,False,False,True,False
5937,895,2023,2024-01-08,2024-02-06,True,True,True,False,False,False,False,False,False,False,False,True,False
5938,896,2021,2022-01-07,2022-01-07,False,True,True,False,False,False,False,False,False,False,False,True,False
5939,896,2022,2023-02-04,2023-02-04,False,True,True,False,False,False,False,False,False,False,False,True,False
5940,896,2023,2023-12-29,2023-12-29,True,True,True,False,False,False,False,False,False,False,False,True,False
5941,898,2021,2021-10-13,2022-05-29,False,True,True,False,False,False,True,True,True,True,False,True,False
5942,898,2022,2022-09-03,2023-05-20,False,True,True,False,False,False,True,True,True,True,False,True,False
5943,898,2023,2023-09-02,2024-05-30,True,True,True,False,False,False,True,True,True,True,False,True,False
5944,902,2021,2022-02-16,2022-02-23,True,True,True,False,False,False,True,True,True,True,False,True,False
5945,903,2021,2022-02-03,2022-02-11,False,False,False,False,False,False,False,False,False,False,False,True,False
5946,903,2023,2023-02-02,2023-02-10,False,True,False,False,False,False,False,False,False,False,False,True,False
5947,903,2024,2024-01-30,2024-02-09,True,True,False,False,False,False,False,False,False,False,False,True,False
5948,905,2021,2022-02-07,2022-02-07,False,True,True,False,False,False,False,False,False,False,False,True,False
5949,905,2022,2022-11-02,2022-11-02,True,True,True,False,False,False,False,False,False,False,False,True,False
5950,36,2021,2019-10-09,2021-03-30,False,True,True,False,False,True,True,True,True,True,False,True,False
5951,36,2023,2022-03-21,2023-03-28,False,True,True,False,False,False,True,True,True,True,False,True,False
5952,36,2025,2024-03-20,2024-03-26,True,True,False,False,False,True,False,False,False,False,False,True,False
5953,944,2022,2022-08-12,2022-08-12,False,False,False,False,False,False,False,False,False,False,False,True,False
5954,944,2023,2023-12-07,2023-12-07,True,True,False,False,False,False,False,False,False,False,False,True,False
5955,945,2022,2022-08-18,2022-08-21,True,True,True,False,False,False,True,True,True,True,False,True,False
5956,946,2022,2022-08-19,2023-06-17,False,True,False,False,False,True,True,True,True,True,False,True,False
5957,946,2023,2023-08-18,2024-06-16,True,True,False,False,False,False,True,True,True,True,False,True,False
5958,947,2022,2022-08-20,2023-05-18,False,True,True,False,False,False,True,True,True,True,False,True,False
5959,947,2023,2023-08-12,2024-05-09,True,True,True,False,False,False,True,True,True,True,False,True,False
5960,948,2022,2022-09-10,2023-05-21,False,True,False,False,False,False,False,False,False,False,False,True,False
5961,948,2023,2023-09-16,2024-05-12,True,True,False,False,False,False,True,True,True,True,False,True,False
5962,949,2022,2022-10-13,2022-10-28,False,True,True,False,False,False,True,True,True,True,False,True,False
5963,949,2023,2023-10-05,2023-10-21,True,True,True,False,False,False,True,True,True,True,False,True,False
5964,950,2022,2022-10-11,2022-10-30,False,True,True,False,False,False,True,True,True,True,False,True,False
5965,950,2024,2024-10-16,2024-10-23,True,False,False,False,False,False,False,False,False,False,False,True,False
5966,951,2022,2022-10-04,2022-10-12,True,False,False,False,False,False,False,False,False,False,False,True,False
5967,952,2022,2021-10-23,2021-11-02,False,False,False,False,False,False,True,True,True,True,False,True,False
5968,952,2024,2023-09-06,2023-09-12,True,True,False,False,False,False,True,True,True,True,False,True,False
5969,953,2022,2022-09-21,2023-03-28,True,True,False,False,False,False,True,True,True,True,False,True,False
5970,954,2022,2022-03-25,2022-09-23,False,True,True,False,False,False,True,True,True,True,False,True,False
5971,954,2023,2023-03-25,2023-09-02,False,True,True,False,False,False,True,True,True,True,False,True,False
5972,954,2024,2024-03-29,2024-08-31,True,True,True,False,False,False,True,True,True,True,False,True,False
5973,955,2022,2022-10-01,2022-11-27,False,True,True,False,False,False,True,True,True,True,False,True,False
5974,955,2023,2023-09-23,2023-11-19,True,True,True,False,False,False,True,True,True,True,False,True,False
5975,956,2022,2022-03-26,2022-09-03,False,True,True,False,False,False,True,True,True,True,False,True,False
5976,956,2023,2023-03-25,2023-09-02,False,True,True,False,False,False,True,True,True,True,False,True,False
5977,956,2024,2024-03-22,2024-08-31,True,True,True,False,False,False,True,True,True,True,False,True,False
5978,957,2022,2022-03-26,2022-09-03,False,True,True,False,False,False,True,True,True,True,False,True,False
5979,957,2023,2023-03-24,2023-09-03,False,True,True,False,False,False,True,True,True,True,False,True,False
5980,957,2024,2024-03-28,2024-09-01,True,True,True,False,False,False,True,True,True,True,False,True,False
5981,958,2022,2022-11-16,2022-12-22,False,True,False,False,False,False,False,False,False,False,False,True,False
5982,958,2023,2023-08-16,2023-11-19,True,True,False,False,False,False,False,False,False,False,False,True,False
5983,959,2022,2022-10-27,2022-11-19,False,True,True,False,False,False,True,True,True,True,False,True,False
5984,959,2023,2023-09-24,2023-12-09,True,True,True,False,False,False,True,True,True,True,False,True,False
5985,961,2022,2023-01-25,2023-01-25,True,True,True,False,False,False,False,False,False,False,False,True,False
5986,962,2022,2022-09-17,2023-04-29,False,False,False,False,False,True,False,False,False,False,False,True,False
5987,962,2023,2023-10-07,2024-05-18,True,False,False,False,False,True,True,True,True,True,False,True,False
5988,966,2022,2022-12-22,2023-06-18,False,True,False,False,False,False,False,False,False,False,False,True,False
5989,966,2023,2023-11-28,2024-06-22,True,True,False,False,False,False,False,False,False,False,False,True,True
5990,967,2022,2022-12-16,2023-04-30,False,True,False,False,False,False,False,False,False,False,False,True,False
5991,967,2023,2024-01-20,2024-07-05,True,True,False,False,False,False,False,False,False,False,False,True,False
5992,968,2022,2022-10-28,2023-05-13,False,False,False,False,False,True,True,True,True,True,False,True,False
5993,968,2023,2024-03-30,2024-03-31,True,False,False,False,False,True,True,True,True,True,False,True,False
5994,971,2022,2023-04-01,2023-07-01,False,True,False,False,False,False,False,False,False,False,False,True,False
5995,971,2023,2024-02-24,2024-06-29,True,True,False,False,False,False,False,False,False,False,False,True,False
5996,975,2022,2023-05-06,2023-05-13,False,True,True,False,False,False,True,True,True,True,False,True,False
5997,975,2023,2024-05-12,2024-05-19,True,True,True,False,False,False,True,True,True,True,False,True,False
5998,976,2022,2023-05-11,2023-06-18,False,True,True,False,False,False,True,True,True,True,False,True,False
5999,976,2023,2024-05-07,2024-06-09,True,True,True,False,False,False,True,True,True,True,False,True,False
6000,974,2022,2023-04-29,2023-05-13,False,True,True,False,False,True,True,True,True,True,False,True,False
6001,974,2023,2024-05-05,2024-05-19,True,True,True,False,False,False,True,True,True,True,False,True,False
6002,977,2022,2023-04-29,2023-06-03,False,True,True,False,False,False,True,True,True,True,False,True,False
6003,977,2023,2024-05-18,2024-06-22,True,True,True,False,False,False,True,True,True,True,False,True,True
6004,978,2022,2023-05-11,2023-05-18,False,False,False,False,False,False,True,True,True,True,False,True,False
6005,978,2023,2024-05-09,2024-05-12,True,False,False,False,False,False,True,True,True,True,False,True,False
6006,979,2022,2023-05-06,2023-05-21,False,False,False,False,False,False,True,True,True,True,False,True,False
6007,979,2023,2024-05-04,2024-05-19,True,False,False,False,False,False,True,True,True,True,False,True,False
